MQ2,MQ3,MQ135,Humidity,Temperature,Label
8.41,25.25,25.23,64.8,35.9,Layak
8.41,25.01,25.23,65.3,36.0,Layak
8.44,24.89,25.11,65.4,36.0,Layak
8.41,25.13,25.47,65.4,36.0,Layak
8.41,24.89,25.47,64.8,35.8,Layak
8.41,24.77,25.47,65.3,36.1,Layak
8.41,25.01,25.23,65.4,36.1,Layak
8.41,25.01,25.23,65.6,36.1,Layak
8.41,25.01,25.11,65.6,36.3,Layak
8.37,24.65,25.35,65.7,36.1,Layak
8.37,24.65,25.11,65.8,36.2,Layak
8.37,24.77,25.47,66.4,37.0,Layak
8.37,24.77,25.47,65.8,36.2,Layak
8.41,24.77,25.35,65.9,36.3,Layak
8.44,25.01,25.35,65.9,36.2,Layak
8.74,25.38,25.97,65.9,36.5,Layak
8.71,25.38,25.72,65.9,36.4,Layak
8.24,24.42,24.87,66.0,36.4,Layak
8.24,24.42,24.87,66.0,36.4,Layak
8.21,24.3,24.99,66.0,36.4,Layak
8.21,24.53,24.99,66.0,36.5,Layak
8.18,24.3,25.23,66.1,36.5,Layak
8.15,24.18,24.99,66.0,36.5,Layak
8.18,24.18,24.87,66.1,36.5,Layak
8.18,24.3,25.11,66.1,36.5,Layak
8.15,24.3,25.35,66.2,36.5,Layak
8.11,24.07,25.11,66.2,36.6,Layak
8.15,24.18,24.87,66.3,36.6,Layak
8.11,24.18,24.99,66.2,36.6,Layak
8.11,24.3,25.11,66.3,36.6,Layak
8.08,23.84,24.75,66.4,36.6,Layak
8.08,23.96,24.75,66.6,36.6,Layak
8.08,24.07,25.11,66.7,36.6,Layak
8.05,23.96,24.75,66.7,36.7,Layak
8.08,24.18,24.75,66.8,36.7,Layak
8.08,23.96,24.75,66.8,36.7,Layak
8.05,24.07,24.87,66.8,36.8,Layak
8.08,24.07,24.87,66.8,36.7,Layak
8.05,23.96,24.75,66.8,36.8,Layak
8.02,23.84,24.87,66.9,36.8,Layak
8.02,23.84,24.99,66.8,36.8,Layak
8.02,23.73,24.87,66.9,36.8,Layak
8.02,23.84,24.87,67.0,36.9,Layak
7.99,23.62,24.87,67.0,36.9,Layak
7.95,23.62,24.63,67.0,36.9,Layak
7.86,23.4,24.63,67.0,36.9,Layak
7.89,23.62,24.52,67.0,36.9,Layak
7.89,23.62,24.63,67.0,36.9,Layak
7.89,23.62,24.52,67.0,36.9,Layak
7.89,23.51,24.63,67.1,36.9,Layak
7.99,23.62,24.75,67.8,37.0,Layak
7.95,23.4,24.52,67.7,37.0,Layak
7.95,23.51,24.63,67.9,37.0,Layak
7.95,23.4,24.63,67.9,37.0,Layak
7.99,23.51,24.99,68.0,37.0,Layak
7.95,23.4,24.87,68.1,37.0,Layak
7.95,23.29,24.63,68.2,37.0,Layak
7.99,23.51,24.52,68.2,37.0,Layak
7.95,23.51,24.52,68.3,37.0,Layak
7.92,23.29,24.63,68.4,37.0,Layak
7.95,23.29,24.63,68.5,37.0,Layak
7.95,23.51,24.52,68.5,37.0,Layak
7.92,23.29,24.75,68.6,37.0,Layak
7.92,23.29,24.87,68.7,37.1,Layak
7.92,23.29,24.52,68.6,37.1,Layak
7.8,23.18,24.63,68.7,37.1,Layak
7.83,23.18,24.29,68.7,37.1,Layak
7.83,23.4,24.52,68.7,37.1,Layak
7.83,23.29,24.63,68.8,37.1,Layak
7.8,22.96,24.75,68.8,37.2,Layak
7.83,22.96,24.4,68.8,37.1,Layak
7.8,23.07,24.75,68.1,36.4,Layak
7.8,22.96,24.52,68.8,37.1,Layak
7.83,22.96,24.52,68.8,37.1,Layak
7.68,22.96,24.52,68.9,37.2,Layak
7.71,22.86,24.4,68.8,37.2,Layak
7.74,22.75,24.4,68.9,37.2,Layak
7.77,22.64,24.4,69.1,37.1,Layak
7.71,22.64,24.52,69.2,37.3,Layak
7.74,22.96,24.63,69.3,37.2,Layak
7.74,22.86,24.4,69.4,37.2,Layak
7.74,22.86,24.29,69.3,37.2,Layak
7.74,22.64,24.29,69.3,37.2,Layak
7.71,22.75,24.4,69.4,37.2,Layak
7.71,22.86,24.29,69.4,37.2,Layak
7.71,22.86,24.4,69.4,37.4,Layak
7.68,22.86,24.52,69.4,37.3,Layak
7.68,22.64,24.29,69.4,37.2,Layak
7.65,22.64,24.17,68.8,36.9,Layak
7.62,22.86,24.4,69.5,37.3,Layak
7.68,22.64,24.29,69.5,37.3,Layak
7.62,22.86,24.4,69.6,37.3,Layak
7.62,22.54,24.17,69.5,37.4,Layak
7.62,22.54,24.29,69.6,37.3,Layak
7.65,22.75,24.52,69.5,37.3,Layak
7.65,22.75,24.29,69.5,37.1,Layak
7.65,22.75,24.4,69.6,37.3,Layak
7.62,22.44,24.4,69.6,37.4,Layak
7.65,22.44,24.4,69.7,37.4,Layak
7.58,22.44,24.52,69.7,37.4,Layak
7.58,22.75,24.4,69.7,37.4,Layak
7.55,22.75,24.52,69.7,37.4,Layak
7.52,22.44,24.17,69.7,37.5,Layak
7.52,22.33,23.95,69.7,37.4,Layak
7.52,22.54,24.29,69.7,37.4,Layak
7.49,22.54,24.29,69.7,37.4,Layak
7.49,22.23,23.95,69.7,37.4,Layak
7.46,22.44,24.29,69.8,37.4,Layak
7.46,22.54,24.17,69.9,37.4,Layak
7.43,22.44,24.06,70.0,37.1,Layak
7.43,22.33,23.95,70.0,37.4,Layak
7.43,22.33,23.83,70.0,37.5,Layak
7.43,22.44,24.17,70.0,37.5,Layak
7.41,22.13,23.83,70.0,37.5,Layak
7.41,22.33,23.95,70.0,37.5,Layak
7.35,22.33,23.95,70.1,37.5,Layak
7.38,22.13,24.06,70.0,37.7,Layak
7.38,22.33,23.72,70.1,37.5,Layak
7.38,22.33,23.95,70.2,37.5,Layak
7.32,22.33,23.83,70.1,37.5,Layak
7.32,22.03,23.83,70.1,37.5,Layak
7.32,22.23,23.61,70.1,37.5,Layak
7.29,22.13,23.61,70.2,37.5,Layak
7.29,22.23,23.61,70.2,37.7,Layak
7.26,22.03,23.95,70.2,37.5,Layak
7.26,22.13,23.61,70.3,37.6,Layak
7.26,22.23,23.72,70.1,37.3,Layak
7.23,22.03,23.72,70.1,37.6,Layak
7.26,22.23,23.61,70.2,37.5,Layak
7.23,22.03,23.61,70.0,37.5,Layak
7.23,22.03,23.83,70.0,37.6,Layak
7.23,22.23,23.61,70.1,37.5,Layak
7.23,22.03,23.5,70.2,37.6,Layak
7.23,22.13,23.61,70.2,37.5,Layak
7.2,22.03,23.39,70.3,37.6,Layak
7.17,22.03,23.83,70.3,37.6,Layak
7.2,22.03,23.61,70.4,37.6,Layak
7.17,21.93,23.72,70.2,37.6,Layak
7.14,21.93,23.72,70.3,37.6,Layak
7.17,21.83,23.5,70.3,37.6,Layak
7.14,21.83,23.5,69.6,36.8,Layak
7.14,22.03,23.5,70.5,37.6,Layak
7.11,22.03,23.72,70.5,37.6,Layak
7.06,21.73,23.39,70.6,37.6,Layak
7.06,21.63,23.28,70.6,37.6,Layak
7.03,21.63,23.5,70.7,37.6,Layak
7.06,21.83,23.28,70.7,37.6,Layak
7.03,21.73,23.18,70.8,37.8,Layak
7.03,21.83,23.18,70.8,37.6,Layak
7.0,21.93,23.28,70.9,37.6,Layak
6.97,21.83,23.18,70.9,37.6,Layak
6.94,21.63,23.39,70.9,37.6,Layak
6.94,21.83,23.28,70.8,37.7,Layak
6.89,21.63,23.28,70.8,37.7,Layak
6.86,21.63,23.28,70.8,37.8,Layak
6.86,21.53,22.96,70.8,37.6,Layak
6.86,21.53,23.07,70.8,37.7,Layak
6.83,21.83,22.96,71.4,38.5,Layak
6.83,21.73,22.86,70.8,37.7,Layak
6.81,21.53,23.07,70.8,37.7,Layak
6.81,21.63,22.75,71.0,37.6,Layak
6.75,21.43,22.65,70.9,37.8,Layak
6.72,21.43,22.65,71.0,37.7,Layak
6.78,21.63,22.65,71.0,37.7,Layak
